Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Year,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2
1.0,Milwaukee Bucks*,26.9,60.0,22.0,61.0,21.0,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,,0.55,12.0,20.8,0.197,,0.503,11.5,80.3,0.162,,Fiserv Forum,721692.0,17602.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Golden State Warriors*,28.4,57.0,25.0,56.0,26.0,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,,0.565,12.6,22.5,0.182,,0.508,11.7,77.1,0.205,,Oracle Arena,803436.0,19596.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Toronto Raptors*,27.3,58.0,24.0,56.0,26.0,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,,0.543,12.4,21.9,0.198,,0.509,13.1,77.1,0.19,,Scotiabank Arena,812822.0,19825.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Utah Jazz*,27.3,50.0,32.0,54.0,28.0,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,,0.538,13.4,22.9,0.217,,0.507,12.4,80.3,0.189,,Vivint Smart Home Arena,750546.0,18306.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Houston Rockets*,29.2,53.0,29.0,53.0,29.0,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,,0.542,12.0,22.8,0.221,,0.525,13.4,74.4,0.21,,Toyota Center,740392.0,18058.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Boston Celtics*,25.7,49.0,33.0,52.0,30.0,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,,0.534,11.5,21.6,0.173,,0.514,13.4,77.0,0.198,,TD Garden,763584.0,18624.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Portland Trail Blazers*,26.2,53.0,29.0,51.0,31.0,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,,0.528,12.1,26.6,0.21,,0.516,11.0,77.9,0.195,,Moda Center,799345.0,19496.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Denver Nuggets*,24.9,54.0,28.0,51.0,31.0,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.232,0.348,0.558,,0.527,11.9,26.6,0.175,,0.521,12.3,78.0,0.194,,Pepsi Center,756457.0,18450.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Indiana Pacers*,27.0,48.0,34.0,50.0,32.0,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,,0.53,12.4,21.9,0.182,,0.516,14.1,76.2,0.184,,Bankers Life Fieldhouse,689310.0,16812.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Oklahoma City Thunder*,25.7,49.0,33.0,50.0,32.0,3.4,0.15,3.56,110.3,107.0,3.3,102.8,0.266,0.347,0.545,,0.514,11.7,26.0,0.19,,0.523,14.4,78.2,0.206,,Chesapeake Energy Arena,746323.0,18203.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Philadelphia 76ers*,26.4,51.0,31.0,48.0,34.0,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,,0.532,12.9,24.5,0.241,,0.512,11.1,78.6,0.206,,Wells Fargo Center,838342.0,20447.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
