year,team,wins
2019,atlanta hawks,20
2019,boston celtics,48
2019,brooklyn nets,35
2019,chicago bulls,22
2019,charlotte hornets,23
2019,cleveland cavaliers,19
2019,dallas mavericks,43
2019,denver nuggets,46
2019,detroit pistons,20
2019,golden state warriors,15
2019,houston rockets,44
2019,indiana pacers,45
2019,los angeles clippers,49
2019,los angeles lakers,52
2019,memphis grizzlies,34
2019,miami heat,44
2019,milwaukee bucks,56
2019,minnesota timberwolves,19
2019,new orleans pelicans,30
2019,new york knicks,21
2019,oklahoma city thunder,44
2019,orlando magic,33
2019,philadelphia 76ers,43
2019,phoenix suns,34
2019,portland trail blazers,35
2019,sacramento kings,31
2019,san antonio spurs,32
2019,toronto raptors,53
2019,utah jazz,44
2019,washington wizards,25
2018,atlanta hawks,29
2018,boston celtics,49
2018,brooklyn nets,42
2018,chicago bulls,22
2018,charlotte hornets,39
2018,cleveland cavaliers,19
2018,dallas mavericks,33
2018,denver nuggets,54
2018,detroit pistons,41
2018,golden state warriors,57
2018,houston rockets,53
2018,indiana pacers,48
2018,los angeles clippers,48
2018,los angeles lakers,37
2018,memphis grizzlies,33
2018,miami heat,39
2018,milwaukee bucks,60
2018,minnesota timberwolves,36
2018,new orleans pelicans,33
2018,new york knicks,17
2018,oklahoma city thunder,49
2018,orlando magic,42
2018,philadelphia 76ers,51
2018,phoenix suns,19
2018,portland trail blazers,53
2018,sacramento kings,39
2018,san antonio spurs,48
2018,toronto raptors,58
2018,utah jazz,50
2018,washington wizards,32
2017,atlanta hawks,24
2017,boston celtics,55
2017,brooklyn nets,28
2017,chicago bulls,27
2017,charlotte hornets,36
2017,cleveland cavaliers,50
2017,dallas mavericks,24
2017,denver nuggets,46
2017,detroit pistons,39
2017,golden state warriors,58
2017,houston rockets,65
2017,indiana pacers,48
2017,los angeles clippers,42
2017,los angeles lakers,35
2017,memphis grizzlies,22
2017,miami heat,44
2017,milwaukee bucks,44
2017,minnesota timberwolves,47
2017,new orleans pelicans,48
2017,new york knicks,29
2017,oklahoma city thunder,48
2017,orlando magic,25
2017,philadelphia 76ers,52
2017,phoenix suns,21
2017,portland trail blazers,49
2017,sacramento kings,27
2017,san antonio spurs,47
2017,toronto raptors,59
2017,utah jazz,48
2017,washington wizards,43
2016,atlanta hawks,43
2016,boston celtics,53
2016,brooklyn nets,20
2016,chicago bulls,41
2016,charlotte hornets,36
