Rk,team,G,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
1,detroit pistons,82,19730,2727,6239,0.437,409,1233,0.332,2318,5006,0.463,1523,2047,0.744,865,2344,3209,1563,477,319,1108,1618,7386,2007
2,boston celtics,82,19755,2657,6341,0.419,485,1535,0.316,2172,4806,0.452,1605,2160,0.743,899,2290,3189,1539,594,389,1308,1818,7404,2007
3,san antonio spurs,82,19730,2857,6431,0.444,420,1227,0.342,2437,5204,0.468,1293,1710,0.756,776,2527,3303,1490,566,361,1058,1625,7427,2007
4,houston rockets,82,19730,2852,6594,0.433,433,1186,0.365,2419,5408,0.447,1410,1912,0.737,894,2441,3335,1548,622,379,1094,1615,7547,2007
5,new orleans hornets,82,19805,3038,6604,0.46,544,1552,0.351,2494,5052,0.494,1217,1579,0.771,815,2533,3348,1779,470,331,1136,1573,7837,2007
6,dallas mavericks,82,19730,2903,6551,0.443,408,1168,0.349,2495,5383,0.463,1648,2168,0.76,882,2419,3301,1547,536,357,999,1739,7862,2007
7,philadelphia 76ers,82,19755,3000,6504,0.461,557,1549,0.36,2443,4955,0.493,1332,1726,0.772,923,2293,3216,1903,550,420,1289,1708,7889,2007
8,portland trail blazers,82,19905,2983,6616,0.451,533,1499,0.356,2450,5117,0.479,1401,1828,0.766,957,2465,3422,1714,488,301,1026,1656,7900,2007
9,cleveland cavaliers,82,19855,2939,6462,0.455,506,1419,0.357,2433,5043,0.482,1548,2070,0.748,814,2500,3314,1721,559,388,1092,1666,7932,2007
10,toronto raptors,82,19830,3007,6569,0.458,619,1683,0.368,2388,4886,0.489,1344,1732,0.776,830,2583,3413,1797,470,333,1149,1508,7977,2007
11,orlando magic,82,19780,3057,6855,0.446,516,1441,0.358,2541,5414,0.469,1489,1975,0.754,900,2519,3419,1764,581,344,1081,1898,8119,2007
12,washington wizards,82,19905,3015,6537,0.461,683,1768,0.386,2332,4769,0.489,1418,1880,0.754,900,2478,3378,1958,529,360,1149,1656,8131,2007
13,utah jazz,82,19705,2896,6286,0.461,506,1419,0.357,2390,4867,0.491,1848,2468,0.749,844,2256,3100,1629,619,420,1305,1891,8146,2007
14,miami heat,82,19830,3029,6477,0.468,552,1497,0.369,2477,4980,0.497,1590,2105,0.755,916,2617,3533,1817,631,341,1166,1650,8200,2007
15,atlanta hawks,82,19855,3115,6733,0.463,512,1413,0.362,2603,5320,0.489,1461,1943,0.752,968,2386,3354,1825,615,421,1123,1793,8203,2007
16,chicago bulls,82,19805,2982,6583,0.453,571,1522,0.375,2411,5061,0.476,1699,2217,0.766,914,2582,3496,1794,648,465,1254,1746,8234,2007
17,new jersey nets,82,19830,2982,6543,0.456,534,1448,0.369,2448,5095,0.48,1774,2311,0.768,896,2517,3413,1810,662,362,1098,1836,8272,2007
18,los angeles clippers,82,19805,3114,6670,0.467,486,1393,0.349,2628,5277,0.498,1574,2096,0.751,916,2657,3573,1834,590,388,1112,1773,8288,2007
