Rk,Team,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Year,Unnamed: 32,Att.,Md..2
1.0,Atlanta Hawks*,82,19705,0.454,12.8,,0.774,0.295,0.142,0.097,0.24,0.226,,0.484,0.615,0.43,0.371,0.401,0.353,,0.512,0.83,,0.05,300,,0.248,926.0,,0.237,0.364,2009,,,
2.0,Boston Celtics*,82,19880,0.431,12.8,,0.774,0.304,0.122,0.12,0.228,0.226,,0.454,0.58,0.393,0.393,0.352,0.349,,0.501,0.832,,0.046,269,,0.245,834.0,,0.254,0.388,2009,,,
3.0,Charlotte Bobcats,82,19930,0.454,12.4,,0.76,0.328,0.115,0.1,0.216,0.24,,0.482,0.579,0.406,0.414,0.407,0.366,,0.481,0.869,,0.05,279,,0.258,867.0,,0.315,0.348,2009,,,
4.0,Chicago Bulls*,82,19930,0.458,11.8,,0.796,0.354,0.1,0.116,0.227,0.204,,0.486,0.588,0.422,0.403,0.397,0.347,,0.494,0.846,,0.056,353,,0.275,1012.0,,0.26,0.42,2009,,,
5.0,Cleveland Cavaliers*,82,19780,0.431,12.5,,0.775,0.322,0.115,0.113,0.226,0.225,,0.459,0.577,0.393,0.363,0.372,0.333,,0.502,0.867,,0.052,302,,0.252,853.0,,0.281,0.361,2009,,,
6.0,Dallas Mavericks*,82,19805,0.455,12.4,,0.796,0.298,0.129,0.12,0.248,0.204,,0.475,0.585,0.426,0.387,0.413,0.375,,0.466,0.814,,0.043,260,,0.241,873.0,,0.239,0.403,2009,,,
7.0,Denver Nuggets*,82,19730,0.44,12.6,,0.756,0.313,0.125,0.095,0.223,0.244,,0.464,0.574,0.406,0.381,0.379,0.366,,0.521,0.87,,0.046,286,,0.246,863.0,,0.286,0.379,2009,,,
8.0,Detroit Pistons*,82,19905,0.451,12.3,,0.808,0.316,0.105,0.127,0.259,0.192,,0.474,0.609,0.394,0.392,0.381,0.354,,0.523,0.862,,0.045,260,,0.253,912.0,,0.245,0.382,2009,,,
9.0,Golden State Warriors,82,19880,0.468,11.6,,0.789,0.331,0.163,0.105,0.191,0.211,,0.491,0.623,0.372,0.394,0.417,0.38,,0.523,0.869,,0.064,428,,0.251,1025.0,,0.282,0.392,2009,,,
10.0,Houston Rockets*,82,19805,0.444,12.4,,0.807,0.292,0.129,0.131,0.254,0.193,,0.465,0.581,0.402,0.387,0.403,0.357,,0.489,0.828,,0.046,277,,0.232,834.0,,0.221,0.38,2009,,,
11.0,Indiana Pacers,82,19830,0.458,13.1,,0.779,0.272,0.123,0.127,0.257,0.221,,0.481,0.606,0.416,0.416,0.413,0.375,,0.486,0.844,,0.046,287,,0.224,854.0,,0.321,0.368,2009,,,
12.0,Los Angeles Clippers,82,19880,0.473,11.8,,0.79,0.346,0.115,0.103,0.226,0.21,,0.499,0.599,0.433,0.446,0.404,0.375,,0.552,0.879,,0.063,387,,0.261,952.0,,0.277,0.406,2009,,,
