Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19730,.442,11.7,,.837,.265,.172,.204,.195,.163,,.457,.618,.333,.395,.412,.367,,.557,.833,,.031,181,,.249,.409
2,Boston Celtics,82,19830,.459,12.6,,.817,.278,.138,.142,.258,.183,,.480,.632,.365,.416,.412,.368,,.599,.893,,.041,250,,.217,.421
3,Charlotte Hornets*,82,19880,.426,11.8,,.834,.284,.155,.164,.231,.166,,.439,.574,.369,.351,.382,.360,,.592,.877,,.029,164,,.232,.363
4,Chicago Bulls,82,19855,.472,11.5,,.846,.327,.127,.151,.242,.154,,.493,.634,.348,.416,.427,.356,,.618,.864,,.042,241,,.206,.420
5,Cleveland Cavaliers,82,19830,.445,12.0,,.825,.272,.162,.168,.222,.175,,.462,.626,.323,.397,.410,.365,,.603,.874,,.039,223,,.301,.374
6,Dallas Mavericks*,82,19805,.439,11.2,,.830,.321,.149,.153,.207,.170,,.460,.596,.341,.369,.403,.334,,.567,.861,,.043,255,,.245,.380
7,Denver Nuggets,82,19780,.446,11.8,,.831,.282,.187,.119,.244,.169,,.464,.624,.362,.382,.397,.356,,.633,.851,,.044,271,,.255,.379
8,Detroit Pistons,82,19855,.434,12.4,,.821,.273,.130,.171,.246,.179,,.453,.577,.361,.396,.405,.348,,.586,.857,,.034,201,,.233,.357
9,Golden State Warriors,82,19780,.472,11.2,,.828,.295,.189,.138,.206,.172,,.491,.686,.353,.385,.408,.379,,.607,.868,,.051,305,,.226,.405
10,Houston Rockets,82,19830,.449,11.9,,.849,.259,.182,.163,.246,.151,,.465,.623,.355,.440,.398,.354,,.537,.855,,.030,186,,.244,.367
11,Indiana Pacers*,82,19980,.423,12.4,,.832,.226,.205,.154,.246,.168,,.441,.599,.355,.403,.390,.336,,.566,.812,,.031,186,,.232,.323
12,Los Angeles Clippers,82,20030,.440,11.7,,.842,.267,.189,.159,.226,.158,,.461,.625,.364,.389,.399,.329,,.565,.842,,.036,221,,.222,.360
13,Los Angeles Lakers*,82,19905,.438,12.4,,.829,.250,.161,.177,.240,.171,,.455,.627,.345,.395,.394,.354,,.518,.794,,.031,193,,.189,.398
14,Miami Heat*,82,19880,.431,12.3,,.826,.253,.165,.174,.234,.174,,.452,.617,.421,.369,.359,.331,,.478,.839,,.033,189,,.179,.359
15,Milwaukee Bucks*,82,19780,.439,11.8,,.812,.302,.137,.169,.204,.188,,.460,.587,.378,.380,.392,.352,,.602,.900,,.037,219,,.274,.404
16,Minnesota Timberwolves*,82,19830,.452,11.2,,.849,.307,.175,.133,.234,.151,,.470,.610,.375,.372,.412,.351,,.587,.831,,.044,258,,.206,.400
17,New Jersey Nets,82,19730,.455,12.0,,.816,.303,.136,.140,.236,.184,,.477,.590,.374,.402,.435,.360,,.587,.855,,.035,197,,.260,.385
18,New York Knicks*,82,19905,.417,12.8,,.794,.241,.153,.174,.226,.206,,.434,.594,.357,.367,.367,.352,,.559,.867,,.018,104,,.263,.396
19,Orlando Magic*,82,19955,.435,11.7,,.837,.291,.148,.174,.224,.163,,.453,.608,.357,.382,.371,.346,,.597,.883,,.040,237,,.256,.406
20,Philadelphia 76ers*,82,19855,.429,12.5,,.814,.231,.189,.197,.197,.186,,.448,.669,.340,.317,.424,.342,,.583,.813,,.031,183,,.159,.437
21,Phoenix Suns*,82,19805,.435,11.4,,.854,.293,.162,.158,.241,.146,,.449,.599,.337,.375,.392,.349,,.561,.823,,.039,229,,.231,.366
22,Portland Trail Blazers*,82,19780,.438,12.2,,.829,.273,.161,.130,.265,.171,,.452,.612,.370,.368,.380,.368,,.586,.813,,.031,180,,.212,.380
23,Sacramento Kings*,82,20080,.432,12.2,,.842,.235,.206,.148,.253,.158,,.447,.631,.361,.374,.389,.355,,.550,.845,,.031,187,,.280,.356
24,San Antonio Spurs*,82,19830,.419,11.9,,.846,.245,.188,.194,.218,.154,,.435,.574,.335,.384,.412,.329,,.541,.781,,.032,179,,.261,.301
25,Seattle SuperSonics,82,19805,.453,12.1,,.801,.265,.179,.142,.215,.199,,.480,.660,.342,.422,.410,.349,,.595,.866,,.042,257,,.252,.367
26,Toronto Raptors*,82,19955,.447,11.6,,.845,.290,.163,.160,.232,.155,,.463,.596,.394,.390,.395,.363,,.520,.865,,.026,158,,.243,.390
27,Utah Jazz*,82,19780,.439,13.0,,.803,.250,.147,.136,.272,.197,,.462,.611,.364,.399,.410,.343,,.529,.900,,.037,196,,.245,.394
28,Vancouver Grizzlies,82,19780,.463,11.8,,.842,.265,.191,.147,.238,.158,,.482,.687,.363,.370,.417,.362,,.584,.843,,.041,261,,.267,.380
29,Washington Wizards,82,19680,.470,11.8,,.834,.265,.200,.144,.225,.166,,.485,.685,.377,.385,.409,.396,,.572,.871,,.036,223,,.269,.395
,League Average,82,19846,.443,12.0,,.830,.273,.168,.158,.232,.170,,.461,.619,.359,.385,.400,.354,,.572,.852,,.036,212,,.239,.381
