Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
1,atlanta hawks,66,16165,0.454,13.2,0.751,0.277,0.153,0.074,0.247,0.249,0.482,0.63,0.43,0.397,0.373,0.37,0.532,0.915,0.048,233,0.225,699,0.34,0.398,8,1,2011
2,boston celtics,66,15940,0.46,12.9,0.806,0.28,0.116,0.145,0.266,0.194,0.483,0.637,0.333,0.418,0.42,0.367,0.62,0.909,0.049,223,0.228,670,0.309,0.439,4,0,2011
3,charlotte bobcats,66,15890,0.414,12.8,0.831,0.29,0.125,0.108,0.309,0.169,0.439,0.592,0.322,0.377,0.363,0.295,0.584,0.757,0.049,229,0.231,647,0.158,0.34,12,0,2011
4,chicago bulls,66,15940,0.452,12.6,0.795,0.297,0.142,0.116,0.241,0.205,0.471,0.605,0.415,0.405,0.372,0.375,0.581,0.807,0.046,231,0.235,717,0.261,0.375,13,0,2011
5,cleveland cavaliers,66,15965,0.422,11.7,0.763,0.326,0.188,0.081,0.167,0.238,0.446,0.599,0.322,0.326,0.343,0.346,0.516,0.836,0.044,211,0.263,799,0.236,0.359,6,0,2011
6,dallas mavericks,66,16065,0.443,13.4,0.729,0.24,0.167,0.148,0.175,0.271,0.482,0.658,0.355,0.409,0.422,0.339,0.509,0.829,0.051,248,0.174,568,0.228,0.35,10,0,2011
7,denver nuggets,66,16040,0.476,11,0.757,0.404,0.151,0.077,0.125,0.243,0.522,0.645,0.372,0.392,0.386,0.332,0.553,0.92,0.078,386,0.315,993,0.313,0.361,22,1,2011
8,detroit pistons,66,15965,0.438,11.4,0.825,0.329,0.172,0.107,0.216,0.175,0.457,0.589,0.36,0.375,0.376,0.346,0.488,0.849,0.035,145,0.268,782,0.239,0.356,14,0,2011
9,golden state warriors,66,15915,0.457,13.4,0.752,0.259,0.166,0.091,0.236,0.248,0.48,0.647,0.343,0.428,0.413,0.388,0.516,0.87,0.049,241,0.198,639,0.274,0.457,13,1,2011
10,houston rockets,66,16065,0.449,12.7,0.76,0.25,0.202,0.12,0.189,0.24,0.477,0.655,0.374,0.398,0.403,0.359,0.504,0.816,0.036,173,0.221,762,0.287,0.435,9,0,2011
11,indiana pacers,66,15990,0.438,11.9,0.802,0.269,0.219,0.127,0.187,0.198,0.455,0.584,0.404,0.382,0.379,0.368,0.455,0.855,0.038,178,0.227,674,0.277,0.363,12,1,2011
12,los angeles clippers,66,15965,0.455,13.7,0.731,0.256,0.159,0.083,0.234,0.269,0.49,0.663,0.408,0.403,0.389,0.357,0.5,0.823,0.088,407,0.173,551,0.288,0.357,10,0,2011
13,los angeles lakers,66,16065,0.457,12.5,0.791,0.258,0.212,0.117,0.205,0.209,0.491,0.671,0.4,0.397,0.414,0.326,0.575,0.82,0.062,307,0.181,595,0.283,0.346,9,1,2011
14,memphis grizzlies,66,15940,0.447,11.7,0.843,0.298,0.192,0.134,0.219,0.157,0.47,0.628,0.386,0.384,0.381,0.326,0.491,0.852,0.049,231,0.23,739,0.226,0.37,20,1,2011
15,miami heat,66,16040,0.469,12.1,0.802,0.309,0.157,0.119,0.218,0.198,0.496,0.65,0.397,0.442,0.381,0.359,0.485,0.841,0.066,310,0.234,714,0.33,0.365,5,1,2011
16,milwaukee bucks,66,15865,0.443,12.4,0.776,0.308,0.146,0.12,0.202,0.224,0.471,0.61,0.354,0.393,0.39,0.345,0.578,0.817,0.03,154,0.256,857,0.242,0.366,8,0,2011
17,minnesota timberwolves,66,15940,0.433,12.7,0.738,0.31,0.157,0.086,0.186,0.262,0.469,0.62,0.342,0.335,0.388,0.332,0.474,0.841,0.041,206,0.244,765,0.256,0.36,9,0,2011
18,new jersey nets,66,15890,0.425,13.8,0.722,0.255,0.134,0.126,0.207,0.278,0.457,0.57,0.414,0.396,0.384,0.342,0.519,0.789,0.042,194,0.205,576,0.267,0.347,8,1,2011
19,new orleans hornets,66,15940,0.451,11.8,0.848,0.267,0.207,0.149,0.225,0.152,0.472,0.625,0.39,0.408,0.407,0.333,0.564,0.834,0.039,190,0.23,670,0.266,0.372,4,0,2011
20,new york knicks,66,15940,0.443,13,0.712,0.316,0.13,0.085,0.181,0.288,0.487,0.648,0.317,0.371,0.381,0.336,0.477,0.865,0.075,364,0.231,712,0.245,0.35,12,0,2011
21,oklahoma city thunder,66,15990,0.471,12.6,0.748,0.294,0.148,0.13,0.175,0.252,0.509,0.671,0.378,0.389,0.436,0.358,0.419,0.828,0.078,377,0.204,620,0.183,0.411,9,0,2011
22,orlando magic,66,15965,0.441,13.9,0.654,0.286,0.153,0.063,0.152,0.346,0.475,0.636,0.371,0.33,0.338,0.375,0.474,0.836,0.05,232,0.224,682,0.216,0.42,8,0,2011
23,philadelphia 76ers,66,15915,0.448,12.5,0.825,0.232,0.182,0.187,0.225,0.175,0.466,0.642,0.395,0.405,0.393,0.362,0.553,0.799,0.043,219,0.177,570,0.208,0.325,5,0,2011
24,phoenix suns,66,15840,0.458,13.3,0.762,0.253,0.165,0.118,0.226,0.238,0.494,0.678,0.388,0.384,0.424,0.343,0.549,0.811,0.037,191,0.204,731,0.238,0.354,11,0,2011
25,portland trail blazers,66,15965,0.443,13,0.745,0.294,0.139,0.097,0.216,0.255,0.477,0.606,0.391,0.37,0.404,0.346,0.483,0.879,0.035,175,0.242,743,0.306,0.397,15,0,2011
26,sacramento kings,66,15915,0.436,11.8,0.772,0.306,0.219,0.076,0.172,0.228,0.471,0.64,0.362,0.353,0.362,0.316,0.456,0.783,0.043,219,0.266,923,0.268,0.341,12,1,2011
27,san antonio spurs,66,15940,0.478,12.4,0.743,0.278,0.203,0.099,0.164,0.257,0.507,0.677,0.395,0.429,0.407,0.393,0.508,0.873,0.027,129,0.252,890,0.315,0.415,6,0,2011
28,toronto raptors,66,15965,0.44,13.1,0.791,0.271,0.151,0.106,0.263,0.209,0.467,0.633,0.402,0.383,0.366,0.34,0.562,0.858,0.048,218,0.212,630,0.241,0.34,12,0,2011
29,utah jazz,66,16165,0.456,11.2,0.847,0.287,0.238,0.118,0.204,0.153,0.48,0.672,0.42,0.333,0.365,0.323,0.529,0.908,0.064,319,0.219,743,0.198,0.329,12,0,2011
30,washington wizards,66,15865,0.441,12.2,0.804,0.299,0.167,0.109,0.227,0.196,0.47,0.661,0.339,0.347,0.376,0.32,0.467,0.858,0.072,384,0.217,667,0.294,0.389,6,1,2011
NA,league average,66,15966,0.448,12.5,0.774,0.287,0.169,0.11,0.208,0.226,0.477,0.634,0.378,0.388,0.388,0.349,0.518,0.843,0.05,244,0.226,711,0.261,0.376,10.1,0.3,2011
1,atlanta hawks,82,19880,0.451,13,0.691,0.331,0.117,0.092,0.151,0.309,0.501,0.616,0.349,0.394,0.429,0.341,0.542,0.879,0.054,341,0.287,1093,0.234,0.388,12,0,2016
2,boston celtics,82,19755,0.454,14.2,0.607,0.296,0.129,0.071,0.111,0.393,0.515,0.632,0.395,0.417,0.405,0.359,0.57,0.836,0.033,211,0.271,1106,0.22,0.41,20,0,2016
3,brooklyn nets,82,19755,0.444,13.2,0.629,0.309,0.173,0.077,0.07,0.371,0.506,0.613,0.418,0.391,0.374,0.338,0.454,0.851,0.035,225,0.3,1173,0.215,0.375,21,0,2016
4,chicago bulls,82,19780,0.444,12.8,0.744,0.28,0.167,0.117,0.179,0.256,0.479,0.6,0.449,0.393,0.377,0.34,0.513,0.875,0.038,248,0.255,1005,0.288,0.415,9,0,2016
5,charlotte hornets,82,19830,0.442,13.9,0.665,0.282,0.133,0.099,0.152,0.335,0.488,0.61,0.4,0.419,0.38,0.351,0.545,0.795,0.034,218,0.253,1006,0.133,0.377,15,1,2016
