Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz*,82,19755,2978,6723,.443,671,1874,.358,2307,4849,.476,1308,1701,.769,742,2554,3296,1463,598,312,995,1655,7935
2,San Antonio Spurs*,82,19805,3032,6839,.443,668,1942,.344,2364,4897,.483,1315,1705,.771,800,2600,3400,1757,614,333,1184,1623,8047
3,Memphis Grizzlies*,82,19905,2864,6465,.443,813,2299,.354,2051,4166,.492,1658,2202,.753,761,2692,3453,1645,574,410,1171,1708,8199
4,Dallas Mavericks,82,19780,3035,6477,.469,788,2074,.380,2247,4403,.510,1411,1827,.772,727,2923,3650,1743,535,280,1225,1591,8269
5,Miami Heat,82,19780,3108,6904,.450,639,1864,.343,2469,5040,.490,1518,1940,.782,837,2737,3574,1611,556,398,1121,1530,8373
6,Chicago Bulls*,82,19780,3236,7099,.456,731,2121,.345,2505,4978,.503,1197,1555,.770,843,2698,3541,1939,602,378,1100,1541,8400
7,Detroit Pistons,82,19805,3144,6830,.460,767,2098,.366,2377,4732,.502,1346,1726,.780,656,2861,3517,1929,551,339,1046,1434,8401
8,Toronto Raptors*,82,19780,3052,6801,.449,794,2240,.354,2258,4561,.495,1519,1948,.780,831,2619,3450,1786,547,392,1200,1666,8417
9,Milwaukee Bucks*,82,19780,3116,6802,.458,816,2312,.353,2300,4490,.512,1464,1900,.771,845,2636,3481,1974,609,375,1205,1579,8512
10,Atlanta Hawks*,82,19880,3178,7155,.444,893,2502,.357,2285,4653,.491,1280,1658,.772,876,2722,3598,1919,738,424,1262,1768,8529
11,Golden State Warriors*,82,19780,3181,7311,.435,737,2277,.324,2444,5034,.485,1450,1905,.761,963,2604,3567,1862,705,313,1272,1588,8549
12,Los Angeles Clippers*,82,19755,3163,6999,.452,753,2154,.350,2410,4845,.497,1480,1917,.772,837,2700,3537,1891,577,258,1084,1835,8559
13,Charlotte Hornets,82,19830,3237,7092,.456,950,2576,.369,2287,4516,.506,1161,1496,.776,732,2909,3641,2012,539,450,1071,1631,8585
14,Indiana Pacers*,82,19855,3115,6909,.451,849,2389,.355,2266,4520,.501,1557,1974,.789,879,2751,3630,1832,661,407,1225,1599,8636
15,Boston Celtics*,82,19755,3168,7035,.450,735,2213,.332,2433,4822,.505,1570,2042,.769,883,2769,3652,1851,623,425,1141,1664,8641
16,Oklahoma City Thunder*,82,19805,3215,6998,.459,724,2036,.356,2491,4962,.502,1525,1996,.764,750,2583,3333,1758,698,450,1129,1697,8679
17,New Orleans Pelicans,82,19905,3286,7299,.450,863,2445,.353,2423,4854,.499,1293,1697,.762,872,3091,3963,1921,603,348,1144,1581,8728
18,Minnesota Timberwolves,82,19805,3246,6829,.475,811,2213,.366,2435,4616,.528,1445,1881,.768,806,2508,3314,1896,629,413,1169,1681,8748
19,Sacramento Kings,82,19880,3153,6824,.462,896,2462,.364,2257,4362,.517,1546,1988,.778,826,2689,3515,1941,694,420,1145,1646,8748
20,Cleveland Cavaliers*,82,19880,3333,7284,.458,850,2353,.361,2483,4931,.504,1271,1644,.773,902,2724,3626,2024,598,349,1033,1690,8787
21,Washington Wizards*,82,19855,3253,6978,.466,810,2224,.364,2443,4754,.514,1489,1982,.751,868,2661,3529,1870,606,377,1257,1621,8805
22,Orlando Magic,82,19805,3304,7081,.467,794,2161,.367,2510,4920,.510,1425,1860,.766,799,2934,3733,1936,622,419,1069,1532,8827
23,New York Knicks,82,19855,3259,7163,.455,806,2313,.348,2453,4850,.506,1533,1988,.771,953,2715,3668,1786,615,377,1060,1516,8857
24,Philadelphia 76ers,82,19830,3244,7043,.461,729,2044,.357,2515,4999,.503,1650,2135,.773,886,2802,3688,1859,704,446,1241,1610,8867
25,Portland Trail Blazers*,82,19930,3213,7069,.455,762,2058,.370,2451,5011,.489,1706,2173,.785,830,2778,3608,1688,633,431,1052,1624,8894
26,Houston Rockets*,82,19780,3375,7286,.463,820,2389,.343,2555,4897,.522,1415,1819,.778,878,2735,3613,1979,697,409,1235,1674,8985
27,Denver Nuggets,82,19755,3454,7248,.477,808,2153,.375,2646,5095,.519,1403,1794,.782,770,2576,3346,1972,681,404,982,1653,9119
28,Los Angeles Lakers,82,19705,3405,7053,.483,830,2245,.370,2575,4808,.536,1499,1966,.762,843,2801,3644,2110,698,440,1188,1520,9139
29,Brooklyn Nets,82,19755,3414,7449,.458,816,2232,.366,2598,5217,.498,1581,2049,.772,902,2965,3867,1888,780,457,1092,1671,9225
30,Phoenix Suns,82,19830,3300,7070,.467,825,2159,.382,2475,4911,.504,1868,2387,.783,840,2772,3612,1818,663,435,1222,1822,9293
,League Average,82,19813,3202,7004,.457,792,2214,.358,2410,4790,.503,1463,1895,.772,831,2737,3568,1855,632,389,1144,1632,8658
