year,team,total_salary
2000,Atlanta Hawks,10668434.4947735
2000,Boston Celtics,19200917.5958188
2000,Charlotte Hornets,15022258.7108014
2000,Chicago Bulls,2966488.1533101
2000,Cleveland Cavaliers,18592834.1463415
2000,Dallas Mavericks,5996248.95470383
2000,Denver Nuggets,15514453.3101045
2000,Detroit Pistons,10617150.3484321
2000,Golden State Warriors,18434319.5121951
2000,Houston Rockets,6389205.40069687
2000,Indiana Pacers,10893551.9163763
2000,Los Angeles Clippers,7632679.44250871
2000,Los Angeles Lakers,27017420.7317073
2000,Miami Heat,17620433.4494774
2000,Milwaukee Bucks,20471032.7526132
2000,Minnesota Timberwolves,22297281.184669
2000,New Jersey Nets,16574769.6864112
2000,New York Knicks,23284334.4947735
2000,Orlando Magic,7098525.08710801
2000,Philadelphia 76ers,24475192.3344948
2000,Phoenix Suns,26149586.4111498
2000,Portland Trail Blazers,32917095.6445993
2000,Sacramento Kings,8735621.60278746
2000,San Antonio Spurs,4164672.29965157
2000,Seattle SuperSonics,16542134.3205575
2000,Toronto Raptors,5922319.86062718
2000,Utah Jazz,16523485.5400697
2000,Vancouver Grizzlies,19282172.9965157
2000,Washington Wizards,16234429.4425087
2001,Atlanta Hawks,12771324.0542067
2001,Boston Celtics,28781944.4381705
2001,Charlotte Hornets,26446050.4234896
2001,Chicago Bulls,15965935.9683795
2001,Cleveland Cavaliers,26087279.8983625
2001,Dallas Mavericks,19484347.9954828
2001,Denver Nuggets,27685557.2557877
2001,Detroit Pistons,19444844.3817053
2001,Golden State Warriors,21206964.5962733
2001,Houston Rockets,27607845.2286844
2001,Indiana Pacers,31442286.1660079
2001,Los Angeles Clippers,15210186.5047996
2001,Los Angeles Lakers,37301773.0095991
2001,Miami Heat,45631207.1146245
2001,Milwaukee Bucks,32159179.6160361
2001,Minnesota Timberwolves,29007956.916996
2001,New Jersey Nets,24141888.8198758
2001,New York Knicks,41202269.1699605
2001,Orlando Magic,22627151.8915867
2001,Philadelphia 76ers,42450194.8051948
2001,Phoenix Suns,33708239.3562959
2001,Portland Trail Blazers,54992915.9796725
2001,Sacramento Kings,26873466.5725579
2001,San Antonio Spurs,32359935.6860531
2001,Seattle SuperSonics,31712983.0604178
2001,Toronto Raptors,27880484.9237719
2001,Utah Jazz,34456217.6171654
2001,Vancouver Grizzlies,28505419.1417278
2001,Washington Wizards,33002355.1101073
2002,Atlanta Hawks,31788064.3690939
2002,Boston Celtics,28795541.5230684
2002,Charlotte Hornets,26886166.5925514
2002,Chicago Bulls,15324726.0700389
2002,Cleveland Cavaliers,29274319.6775987
2002,Dallas Mavericks,20514145.7476376
2002,Denver Nuggets,47193755.5864369
2002,Detroit Pistons,26591631.9622012
2002,Golden State Warriors,27742994.6081156
2002,Houston Rockets,25622600.2779322
2002,Indiana Pacers,37856625.2918288
2002,LA Clippers,17652952.1956643
2002,Los Angeles Lakers,33565472.4847137
2002,Memphis Grizzlies,25330615.7309616
2002,Miami Heat,32998078.9327404
2002,Milwaukee Bucks,36964096.1089494
2002,Minnesota Timberwolves,35672478.877154
2002,New Jersey Nets,25608574.8193441
2002,New York Knicks,40434759.5886604
2002,Orlando Magic,28370315.1195108
2002,Philadelphia 76ers,41196596.9983324
2002,Phoenix Suns,37844512.3957754
2002,Portland Trail Blazers,53548563.3685381
2002,Sacramento Kings,34679858.9216231
2002,San Antonio Spurs,27563851.2506948
2002,Seattle SuperSonics,28666762.3123958
